name,playcount,listeners,mbid,url,tags
Al Green,27449099,1833348,fb7272ba-f130-4f0a-934d-6eeea4c18c9a,https://www.last.fm/music/Al+Green,['soul']
Michael Bublé,74307888,2902027,611700cf-27f0-4dc9-ae80-c513a767853e,https://www.last.fm/music/Michael+Bubl%C3%A9,['jazz']
Eslabon Armado,19025681,511585,,https://www.last.fm/music/Eslabon+Armado,['Corridos tumbados']
Kai,32451140,491685,a29ec9aa-918f-40a0-81a7-b7350051fe33,https://www.last.fm/music/Kai,['exo']
Max,21533925,947738,e1de6594-d5f0-4d0b-9ac4-2a22c6666cde,https://www.last.fm/music/Max,['j-pop']
Leith Ross,12451185,471866,,https://www.last.fm/music/Leith+Ross,['folk']
Paul Simon,41148872,1806891,05517043-ff78-4988-9c22-88c68588ebb9,https://www.last.fm/music/Paul+Simon,['singer-songwriter']
Saweetie,15833270,923658,,https://www.last.fm/music/Saweetie,['better than selena gomez']
CHUNG HA,30720689,507534,,https://www.last.fm/music/CHUNG+HA,['k-pop']
BADBADNOTGOOD,23434864,864113,754294d5-d7d2-4ea2-8184-1dcaaf55a56f,https://www.last.fm/music/BADBADNOTGOOD,['jazz']
Bob Sinclar,12070848,1251272,f9ab44f1-7b19-4ecb-830c-403abcf36cd1,https://www.last.fm/music/Bob+Sinclar,['House']
Broadcast,24222050,862615,aaae25bf-c794-45d7-bab7-cdc7c655bfa6,https://www.last.fm/music/Broadcast,['electronic']
James Bay,21512949,1057269,6a997121-0919-482b-a91b-c6fe1b55a4b9,https://www.last.fm/music/James+Bay,['folk']
fujii kaze,16567579,510109,,https://www.last.fm/music/fujii+kaze,['japanese']
Rema,12071616,714235,,https://www.last.fm/music/Rema,['afrobeats']
ZZ Top,37710643,1878302,a81259a0-a2f5-464b-866e-71220f2739f1,https://www.last.fm/music/ZZ+Top,['classic rock']
Lil Darkie,34139096,475352,,https://www.last.fm/music/Lil+Darkie,['rap']
Myke Towers,13147000,411960,,https://www.last.fm/music/Myke+Towers,['Reggaeton']
Lumi Athena,10825958,371688,,https://www.last.fm/music/Lumi+Athena,['bad']
John Denver,17581020,1411305,34e10b51-b5c6-4bc1-b70e-f05f141eda1e,https://www.last.fm/music/John+Denver,['country']
Everglow,30953589,501450,faa78a51-9aee-4d8c-85ef-8ef4c245ddbc,https://www.last.fm/music/Everglow,['k-pop']
Ray Charles,34638752,2295678,2ce02909-598b-44ef-a456-151ba0a3bd70,https://www.last.fm/music/Ray+Charles,['jazz']
blue smiley,7654339,462344,,https://www.last.fm/music/blue+smiley,['shoegaze']
Elis Regina,18500125,783718,e9e85a54-074c-4d29-a886-bcaaa9d44f9f,https://www.last.fm/music/Elis+Regina,['mpb']
Hoobastank,36513101,2330362,2fa0d3ac-b64c-401a-b0a1-4915ba6cc157,https://www.last.fm/music/Hoobastank,['rock']
Yung Gravy,24716572,799518,,https://www.last.fm/music/Yung+Gravy,['rap']
YG,17162430,984389,6b1cf581-17a9-42c3-927b-d1e2797b1695,https://www.last.fm/music/YG,['Hip-Hop']
Plan B,19858094,1005014,e3e7a076-ee69-4f19-84db-d092f7e38e40,https://www.last.fm/music/Plan+B,['Hip-Hop']
24kgoldn,18960813,940903,,https://www.last.fm/music/24kgoldn,['Hip-Hop']
Pi’erre Bourne,36175158,501507,,https://www.last.fm/music/Pi%E2%80%99erre+Bourne,['trap']
The Temper Trap,32991625,1672916,bb6eaced-69dd-4636-829f-9f987acc4fc3,https://www.last.fm/music/The+Temper+Trap,['indie']
Jamie xx,24871478,854662,d1515727-4a93-4c0d-88cb-d7a9fce01879,https://www.last.fm/music/Jamie+xx,['electronic']
LMFAO,25530289,1989041,ed5d9086-e8cd-473a-b96c-d81ad6c98f0d,https://www.last.fm/music/LMFAO,['electronic']
Miracle Musical,13956076,456958,,https://www.last.fm/music/Miracle+Musical,['experimental']
Peter Bjorn and John,29753462,1743286,32a83250-7e26-422d-b9ac-f4564343e9ce,https://www.last.fm/music/Peter+Bjorn+and+John,['indie']
Set It Off,21181742,519670,823ed9ad-3412-47dc-9caf-b7be02121fcf,https://www.last.fm/music/Set+It+Off,['pop punk']
"WHATEVER, DAD",8064147,485573,2688a124-4cf0-4f9b-8fa4-71808622f3cc,"https://www.last.fm/music/WHATEVER,+DAD",['Lo-Fi']
Seether,57787760,2026094,fbcd7b29-455f-49e6-9c4f-8249d20a055e,https://www.last.fm/music/Seether,['rock']
Glee Cast,147637433,1583150,29542149-a818-4167-aa91-439adc9d61f5,https://www.last.fm/music/Glee+Cast,['musical']
Taemin,36706745,474821,89730948-e665-460d-a6e9-3a1df288c9b6,https://www.last.fm/music/Taemin,['k-pop']
Frédéric Chopin,68208965,1971160,81269a28-c616-4e87-8942-a6f8e59b68e4,https://www.last.fm/music/Fr%C3%A9d%C3%A9ric+Chopin,['Classical']
cassö,4259125,404642,,https://www.last.fm/music/cass%C3%B6,['electronic']
88Rising,23144821,790623,,https://www.last.fm/music/88Rising,['Hip-Hop']
cassö,4259125,404642,,https://www.last.fm/music/cass%C3%B6,['electronic']
Stevie Nicks,16793314,1175799,b7f2cca2-72c6-41fb-ae33-53370fc62fe7,https://www.last.fm/music/Stevie+Nicks,['female vocalists']
Adventure Time,15189671,568071,18974edc-83bb-49c1-b7bf-51dcf5fa6f95,https://www.last.fm/music/Adventure+Time,['experimental']
6LACK,29855260,798935,,https://www.last.fm/music/6LACK,['rnb']
Dexys Midnight Runners,10359489,1263934,ccce2053-7007-4c36-b1e7-f8fcf5023a12,https://www.last.fm/music/Dexys+Midnight+Runners,['new wave']
Yusuf / Cat Stevens,12106814,752084,,https://www.last.fm/music/Yusuf+%2F+Cat+Stevens,['folk']
Summrs,44832103,279693,,https://www.last.fm/music/Summrs,['pluggnb']
MKTO,8893260,889978,aa25521e-3848-4ff7-ab09-545cc95b8a36,https://www.last.fm/music/MKTO,['pop']
Modern Talking,14972470,900532,98913495-8867-43b3-aa8d-db88ee4d4cdc,https://www.last.fm/music/Modern+Talking,['80s']
K/DA,27719304,630063,,https://www.last.fm/music/K%2FDA,['k-pop']
Gal Costa,24807717,666208,fc63a914-272d-4b95-9221-61adcce6f793,https://www.last.fm/music/Gal+Costa,['Bossa Nova']
Joost,11888354,243074,,https://www.last.fm/music/Joost,['Hip-Hop']
Jeremy Zucker,33612132,851145,,https://www.last.fm/music/Jeremy+Zucker,['seen live']
FROMIS_9,33198693,365560,,https://www.last.fm/music/FROMIS_9,['k-pop']
A$AP Mob,20606432,708868,938bbcc7-3c04-4209-85fb-fa8b3dcd2672,https://www.last.fm/music/A$AP+Mob,['Hip-Hop']
Ravyn Lenae,10328266,476975,,https://www.last.fm/music/Ravyn+Lenae,['rnb']
Joan Jett & The Blackhearts,6291992,684851,,https://www.last.fm/music/Joan+Jett+&+The+Blackhearts,['rock']
Jack Stauber,17316244,714690,,https://www.last.fm/music/Jack+Stauber,['indie pop']
Foreigner,23519807,1865221,160629ab-ec18-4931-8c95-02cb92d06186,https://www.last.fm/music/Foreigner,['classic rock']
The Zombies,23980975,1453673,720f4d86-cab5-463d-98bc-5d4bf5c3470e,https://www.last.fm/music/The+Zombies,['60s']
Midrift,3059377,232094,,https://www.last.fm/music/Midrift,['shoegaze']
Muna,24365747,607359,,https://www.last.fm/music/Muna,['seen live']
LeeHi,13137755,442666,,https://www.last.fm/music/LeeHi,['k-pop']
Claude Debussy,31431719,1713354,be50643c-0377-4968-b48c-47e06b2e2a3b,https://www.last.fm/music/Claude+Debussy,['Classical']
The La's,9486986,1070247,ff3e88b3-7354-4f30-967c-1a61ebc8c642,https://www.last.fm/music/The+La%27s,['britpop']
Nat King Cole,33323332,2407262,fbe054ec-a143-4101-9e9e-64abc5ff5ac9,https://www.last.fm/music/Nat+King+Cole,['jazz']
Riton,7321536,726078,9b085502-2c93-446f-ab1b-858e281471ff,https://www.last.fm/music/Riton,['electronic']
Autumn!,50984845,299763,,https://www.last.fm/music/Autumn%21,['plugg']
Pyotr Ilyich Tchaikovsky,31777283,1713814,9ddd7abc-9e1b-471d-8031-583bc6bc8be9,https://www.last.fm/music/Pyotr+Ilyich+Tchaikovsky,['Classical']
Lemon Demon,32433030,582974,6b014cfd-4927-4187-a741-715998e6d785,https://www.last.fm/music/Lemon+Demon,['geek rock']
Danny Brown,52286054,889574,960afc67-9c21-46dd-9c7f-ff2b509e3150,https://www.last.fm/music/Danny+Brown,['Hip-Hop']
Hybs,5523466,311399,,https://www.last.fm/music/Hybs,['rnb']
Ween,43910476,995588,c0eee88b-47f2-4cd2-ac48-a045e902a432,https://www.last.fm/music/Ween,['alternative']
Cher,27481630,1720273,bfcc6d75-a6a5-4bc6-8282-47aec8531818,https://www.last.fm/music/Cher,['pop']
Take Care,6571645,304719,2182ec44-e226-47b9-b87b-92d1ad8d4ce8,https://www.last.fm/music/Take+Care,['slowcore']
HAIM,52165370,1292060,aef06569-098f-4218-a577-b413944d9493,https://www.last.fm/music/HAIM,['indie pop']
Placebo,219720655,3046522,979a39b4-2df9-4767-a3ca-7940e8aff05a,https://www.last.fm/music/Placebo,['alternative rock']
Jin,129251582,463602,bd9e7f29-d80b-443d-9ce0-6153b8179022,https://www.last.fm/music/Jin,['Hip-Hop']
Piero Piccioni,9826773,501798,52e50090-9a6d-463b-9cf9-ea5de196026a,https://www.last.fm/music/Piero+Piccioni,['Soundtrack']
Don McLean,12063086,1270122,fa19ee38-c2a9-4ed1-9b24-a18100cf9db3,https://www.last.fm/music/Don+McLean,['classic rock']
Deep Purple,67782548,2623685,79491354-3d83-40e3-9d8e-7592d58d790a,https://www.last.fm/music/Deep+Purple,['hard rock']
Ryan Gosling,11994327,813186,a992d757-1207-499c-8be9-6537da8db2a8,https://www.last.fm/music/Ryan+Gosling,['singer-songwriter']
Chuck Berry,25733642,2108391,592a3b6d-c42b-4567-99c9-ecf63bd66499,https://www.last.fm/music/Chuck+Berry,['Rock and Roll']
T-Pain,19004830,1864137,,https://www.last.fm/music/T-Pain,['rnb']
Janet Jackson,43499606,1761562,6be2828f-6c0d-4059-99d4-fa18acf1a296,https://www.last.fm/music/Janet+Jackson,['pop']
Trueno,10746714,229758,,https://www.last.fm/music/Trueno,['rap']
Nick Cave & The Bad Seeds,85821421,1776914,172e1f1a-504d-4488-b053-6344ba63e6d0,https://www.last.fm/music/Nick+Cave+&+The+Bad+Seeds,['post-punk']
Sir,13965893,588011,96966179-d9ef-46f4-9179-5545cd0e6279,https://www.last.fm/music/Sir,['rnb']
Cream,36261815,2398679,be212372-2e70-429a-bd5c-86239716edc4,https://www.last.fm/music/Cream,['classic rock']
Edward Maya,7459524,776909,257891db-1f69-4660-894d-075e355431a8,https://www.last.fm/music/Edward+Maya,['electronic']
Aldn,10853579,294115,,https://www.last.fm/music/Aldn,['hyperpop']
boy pablo,21282969,823768,,https://www.last.fm/music/boy+pablo,['indie pop']
SunMi,27457978,533836,716a8be4-6f58-4e64-a1e6-fb3017f21bf6,https://www.last.fm/music/SunMi,['k-pop']
GFRIEND,27717284,400457,,https://www.last.fm/music/GFRIEND,['k-pop']
Dreamcatcher,62612914,441647,8e5e3cd0-6b1b-4f7e-be34-baee059363fa,https://www.last.fm/music/Dreamcatcher,['k-pop']
Alesso,18595642,1187413,addb00fd-733c-4223-8fdf-f78be2488acd,https://www.last.fm/music/Alesso,['House']
Judas Priest,87249566,1802466,6b335658-22c8-485d-93de-0bc29a1d0349,https://www.last.fm/music/Judas+Priest,['heavy metal']
LAZER DIM 700,7285406,132533,,https://www.last.fm/music/LAZER+DIM+700,['dark plugg']
Olly Alexander (Years & Years),2433523,261944,,https://www.last.fm/music/Olly+Alexander+(Years+&+Years),['pop']
Mason,4177255,475263,a3b35913-3881-492b-ad3f-1de60d39671d,https://www.last.fm/music/Mason,['electro']
Psy,27793948,1242766,f99b7d67-4e63-4678-aa66-4c6ac0f7d24a,https://www.last.fm/music/Psy,['k-pop']
Taeyang,20853069,425409,,https://www.last.fm/music/Taeyang,['k-pop']
Tee Grizzley,12921567,510629,,https://www.last.fm/music/Tee+Grizzley,['Hip-Hop']
Simple Minds,21948637,1683347,f41490ce-fe39-435d-86c0-ab5ce098b423,https://www.last.fm/music/Simple+Minds,['new wave']
Bullet for My Valentine,100887613,2163966,d530dbf9-69b1-404f-98f2-0431104f5a1e,https://www.last.fm/music/Bullet+for+My+Valentine,['metalcore']
Shania Twain,22253216,1467591,faabb55d-3c9e-4c23-8779-732ac2ee2c0d,https://www.last.fm/music/Shania+Twain,['country']
The Wombats,50662001,1778033,e105c272-b5d7-4135-82ef-d60bded54345,https://www.last.fm/music/The+Wombats,['indie']
Jessie Ware,45551119,1010639,6ed40778-8d03-4a5c-ad35-93cf814627c9,https://www.last.fm/music/Jessie+Ware,['soul']
Kordhell,17114919,573780,,https://www.last.fm/music/Kordhell,['phonk']
Gnarls Barkley,34997996,2259886,a47c3aa2-7d87-475c-a2c7-1e2047dafb09,https://www.last.fm/music/Gnarls+Barkley,['funk']
